256
Atoms. Timestep: 66000
1 4.73053 0.659998 16.9979
1 4.72902 0.658045 4.74041
1 4.70926 0.655703 8.8152
1 4.72524 16.976 12.8344
1 4.75987 4.71259 0.615153
1 4.71447 4.71572 4.71397
1 4.71839 4.69666 8.80198
1 4.74905 4.76439 12.8575
1 4.72877 8.79259 0.621782
1 4.73854 8.76751 4.70844
1 4.71948 8.79996 8.81437
1 4.71678 8.83986 12.8568
1 4.71143 12.8398 16.9739
1 4.72332 12.8489 4.72697
1 4.73023 12.8831 8.80552
1 4.72416 12.8881 12.8734
1 8.83803 16.9125 16.9845
1 8.83351 0.656209 4.76221
1 8.88401 0.647523 8.83777
1 8.8379 0.640452 12.8801
1 8.84054 4.7015 0.604766
1 8.77965 4.74436 4.71257
1 8.82484 4.73496 8.79554
1 8.85736 4.72823 12.8301
1 8.83196 8.86072 0.651322
1 8.77949 8.78555 4.74221
1 8.7839 8.81793 8.82806
1 8.81162 8.84808 12.9074
1 8.84941 12.8719 17.0147
1 8.82907 12.8388 4.75389
1 8.80881 12.8553 8.80352
1 8.84802 12.8641 12.936
1 12.9332 16.9399 16.9899
1 12.8374 0.676935 4.72387
1 12.8871 0.685902 8.83924
1 12.9058 0.686958 12.8879
1 12.8471 4.73357 0.617814
1 12.8855 4.76954 4.69577
1 12.9163 4.75941 8.7785
1 12.9136 4.71846 12.8197
1 12.8402 8.83797 0.659287
1 12.8759 8.81828 4.74597
1 12.8791 8.81242 8.84014
1 12.8748 8.82494 12.8939
1 12.9133 12.8988 17.0278
1 12.8639 12.8492 4.77999
1 12.8646 12.8823 8.8913
1 12.8566 12.8944 12.9173
256
Atoms. Timestep: 69000
1 0.634059 2.70216 2.70583
1 16.9192 2.66862 6.78114
1 0.622394 2.67487 10.8216
1 16.947 2.69534 14.9317
1 0.625094 6.78474 2.71661
1 16.9548 6.77885 6.7931
1 0.663004 6.77366 10.8072
1 16.926 6.75068 14.9369
1 16.9285 10.8439 2.69126
1 0.695359 10.852 6.75769
1 0.648121 10.8031 10.8116
1 0.581466 10.8221 14.8945
1 0.654941 14.903 2.67976
1 16.9521 14.872 6.76715
1 0.626207 14.9098 10.8261
1 0.651655 14.8902 14.8977
1 4.73872 2.70558 2.72483
1 4.70801 2.68197 6.78315
1 4.69728 2.69972 10.876
1 4.72059 2.6757 14.9323
1 4.72377 6.78135 2.70635
1 4.72225 6.75451 6.77721
1 4.71404 6.77951 10.848
1 4.73488 6.81145 14.9198
1 4.69697 10.852 2.69155
1 4.72907 10.8551 6.76577
1 4.72988 10.8302 10.854
1 4.70447 10.8317 14.8781
1 4.72828 14.8939 2.67618
1 4.75341 14.9009 6.73045
1 4.74057 14.9025 10.8145
1 4.72229 14.8827 14.8812
1 8.81691 2.68467 2.67694
1 8.80599 2.74072 6.73036
1 8.82227 2.69159 10.8506
1 8.82781 2.67127 14.9232
1 8.82787 6.75245 2.70841
1 8.85909 6.81074 6.79386
1 8.80883 6.80274 10.8674
1 8.84612 6.78948 14.925
1 8.79777 10.8549 2.6962
1 8.82422 10.8555 6.76604
1 8.80399 10.8289 10.8233
1 8.8135 10.8615 14.879
1 8.85828 14.9015 2.68788
1 8.85756 14.9459 6.72831
1 8.83061 14.9228 10.8096
1 8.8058 14.9155 14.9352
1 12.8454 2.65911 2.65591
1 12.8685 2.7374 6.72913
1 12.8476 2.70004 10.8246
1 12.825 2.66075 14.8936
1 12.8626 6.81026 2.70644
